Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
GABARAPL1	chr12	10256755	10266991	18	GABA(A) receptor-associated protein like 1	0005515	protein binding
GABARAPL2	chr16	74157749	74169280	18	GABA(A) receptor-associated protein-like 2	0005515	protein binding
GADD45B	chr19	2427134	2429257	18	growth arrest and DNA-damage-inducible, beta	0005515	protein binding
GAK	chr4	833064	916174	18	cyclin G associated kinase	0000166	nucleotide binding
GALC	chr14	87469110	87529660	18	galactosylceramidase	0005764	lysosome
GALE	chr1	23994675	23999621	18	UDP-galactose-4-epimerase	0005488	binding
GALNT1	chr18	31488530	31545796	18	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	0004653	polypeptide N-acetylgalactosaminyltransferase activity
GALNT10	chr5	153550487	153780003	18	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	0016020	membrane
GALNT2	chr1	228269578	228484498	18	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	0005794	Golgi apparatus
GALT	chr9	34636634	34640573	18	galactose-1-phosphate uridylyltransferase	0016740	transferase activity
GANAB	chr11	62148873	62170680	18	glucosidase, alpha; neutral AB	0043687	post-translational protein modification
GAPDH	chr12	6513917	6517797	18	glyceraldehyde-3-phosphate dehydrogenase	0016491	oxidoreductase activity
GARS	chr7	30600705	30640173	18	glycyl-tRNA synthetase	0005829	cytosol
GART	chr21	33798107	33836334	18	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	0006189	'de novo' IMP biosynthetic process
GATAD2A	chr19	19357641	19480741	18	GATA zinc finger domain containing 2A	0030674	protein binding, bridging
GATC	chr12	119368666	119382145	18	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	0005739	mitochondrion
GBA	chr1	153470866	153477677	18	glucosidase, beta; acid (includes glucosylceramidase)	0005975	carbohydrate metabolic process
GBA2	chr9	35726862	35739225	18	glucosidase, beta (bile acid) 2	0016142	O-glycoside catabolic process
GBAS	chr7	55999789	56035365	18	glioblastoma amplified sequence	0005624	membrane fraction
GBF1	chr10	103995298	104132639	18	golgi-specific brefeldin A resistant guanine nucleotide exchange factor 1	0000139	Golgi membrane
GBL	chr16	2195450	2199419	18	G protein beta subunit-like
GBP1	chr1	89290574	89303631	18	guanylate binding protein 1, interferon-inducible, 67kDa	0000166	nucleotide binding
GCC2	chr2	108432067	108492286	18	GRIP and coiled-coil domain containing 2	0042802	identical protein binding
GCN1L1	chr12	119049396	119116896	18	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	0006417	regulation of translation
GDE1	chr16	19420515	19440951	18	glycerophosphodiester phosphodiesterase 1	0016021	integral to membrane
GDI1	chrX	153318452	153325008	18	GDP dissociation inhibitor 1	0005515	protein binding
GDI2	chr10	5847191	5895518	18	GDP dissociation inhibitor 2	0009986	cell surface
GFM1	chr3	159845010	159893054	18	G elongation factor, mitochondrial 1	0070125	mitochondrial translational elongation
GGA1	chr22	36334448	36359517	18	golgi associated, gamma adaptin ear containing, ARF binding protein 1	0005515	protein binding
GGA2	chr16	23383143	23429309	18	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0006886	intracellular protein transport
GGA3	chr17	70744289	70769272	18	golgi associated, gamma adaptin ear containing, ARF binding protein 3	0005622	intracellular
GHITM	chr10	85889164	85903291	18	growth hormone inducible transmembrane protein	0003674	molecular_function
GIGYF2	chr2	233270258	233433531	18	GRB10 interacting GYF protein 2	0005515	protein binding
GINS2	chr16	84268780	84280089	18	GINS complex subunit 2 (Psf2 homolog)	0005515	protein binding
TMPPE				18	transmembrane protein with metallophosphoesterase domain
GLE1	chr9	130306791	130344401	18	GLE1 RNA export mediator homolog (yeast)	0006406	mRNA export from nucleus
GLG1	chr16	73038826	73198543	18	golgi apparatus protein 1	0016020	membrane
GLO1	chr6	38751679	38778930	18	glyoxalase I	0006916	anti-apoptosis
GLOD4	chr17	609298	632321	18	glyoxalase domain containing 4	0005739	mitochondrion
GLRX3	chr10	131824652	131867860	18	glutaredoxin 3	0002026	regulation of the force of heart contraction
GLT25D1	chr19	17527510	17554965	18	glycosyltransferase 25 domain containing 1	0005783	endoplasmic reticulum
GLT8D1	chr3	52703543	52715088	18	glycosyltransferase 8 domain containing 1	0016021	integral to membrane
GLTSCR2	chr19	52940619	52952127	18	glioma tumor suppressor candidate region gene 2	0005730	nucleolus
GLUD1	chr10	88800224	88844603	18	glutamate dehydrogenase 1	0005759	mitochondrial matrix
GLUL	chr1	180618291	180627573	18	glutamate-ammonia ligase (glutamine synthetase)	0008283	cell proliferation
GM2A	chr5	150612805	150630146	18	GM2 ganglioside activator	0005739	mitochondrion
GMCL1	chr2	69910321	69960231	18	germ cell-less homolog 1 (Drosophila)	0007283	spermatogenesis
GMFB	chr14	54010958	54025494	18	glia maturation factor, beta	0003779	actin binding
GMPPA	chr2	220071856	220079955	18	GDP-mannose pyrophosphorylase A	0005525	GTP binding
GMPR2	chr14	23771487	23778287	18	guanosine monophosphate reductase 2	0005829	cytosol
GMPS	chr3	157071018	157138214	18	guanine monphosphate synthetase	0009113	purine base biosynthetic process
GNA12	chr7	2734266	2850485	18	guanine nucleotide binding protein (G protein) alpha 12	0030168	platelet activation
GNAI2	chr3	50248650	50271790	18	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	0005525	GTP binding
GNAI3	chr1	109892708	109939975	18	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	0007194	negative regulation of adenylate cyclase activity
GNAS	chr20	56848189	56919645	18	GNAS complex locus	0031224	intrinsic to membrane
GNB1	chr1	1706588	1812355	18	guanine nucleotide binding protein (G protein), beta polypeptide 1	0007165	signal transduction
GNB2	chr7	100109298	100114728	18	guanine nucleotide binding protein (G protein), beta polypeptide 2	0005246	calcium channel regulator activity
GNB2L1	chr5	180596533	180603512	18	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	0005515	protein binding
GNL1	chr6	30621672	30632987	18	guanine nucleotide binding protein-like 1	0005198	structural molecule activity
GNL2	chr1	37804999	37834173	18	guanine nucleotide binding protein-like 2 (nucleolar)	0008150	biological_process
GNL3	chr3	52694975	52703550	18	guanine nucleotide binding protein-like 3 (nucleolar)	0005525	GTP binding
GNPAT	chr1	229443541	229480342	18	glyceronephosphate O-acyltransferase	0008415	acyltransferase activity
GNPTAB	chr12	100663407	100748763	18	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
GNPTG	chr16	1341932	1353353	18	N-acetylglucosamine-1-phosphate transferase, gamma subunit	0005515	protein binding
GNS	chr12	63393488	63439493	18	glucosamine (N-acetyl)-6-sulfatase	0008484	sulfuric ester hydrolase activity
GOLGA3	chr12	131855567	131915361	18	golgi autoantigen, golgin subfamily a, 3	0006891	intra-Golgi vesicle-mediated transport
GOLGA4	chr3	37259741	37383246	18	golgi autoantigen, golgin subfamily a, 4	0000139	Golgi membrane
GOLGA7	chr8	41467237	41487656	18	golgi autoantigen, golgin subfamily a, 7	0016020	membrane
GOLGA8A	chr15	32458561	32469293	18	golgi autoantigen, golgin subfamily a, 8A	0016020	membrane
GOLGA8B	chr15	32604775	32615514	18	golgi autoantigen, golgin subfamily a, 8B	0005794	Golgi apparatus
GOLGB1	chr3	122864737	122951292	18	golgin B1, golgi integral membrane protein	0016020	membrane
GOLPH3	chr5	32160580	32210182	18	golgi phosphoprotein 3 (coat-protein)	0005758	mitochondrial intermembrane space
GOLPH3L	chr1	148885324	148936296	18	golgi phosphoprotein 3-like	0005794	Golgi apparatus
GOLT1B	chr12	21545965	21562604	18	golgi transport 1 homolog B (S. cerevisiae)	0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade
GOPC	chr6	117988125	118030374	18	golgi associated PDZ and coiled-coil motif containing	0045202	synapse
GORASP1	chr3	39113094	39124134	18	golgi reassembly stacking protein 1, 65kDa	0007030	Golgi organization
GORASP2	chr2	171493956	171531886	18	golgi reassembly stacking protein 2, 55kDa	0016020	membrane
GOT1	chr10	101146616	101180520	18	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	0051384	response to glucocorticoid stimulus
GOT2	chr16	57298535	57325747	18	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GPAA1	chr8	145209511	145213107	18	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	0005515	protein binding
GPATCH2	chr1	215670456	215871032	18	G patch domain containing 2	0003676	nucleic acid binding
GPATCH4	chr1	154830903	154837894	18	G patch domain containing 4	0005622	intracellular
GPATCH8	chr17	39828175	39936328	18	G patch domain containing 8	0003676	nucleic acid binding
GPBP1	chr5	56505531	56595169	18	GC-rich promoter binding protein 1	0005737	cytoplasm
GPBP1L1	chr1	45865562	45924889	18	GC-rich promoter binding protein 1-like 1	0005634	nucleus
GPD1L	chr3	32123147	32185204	18	glycerol-3-phosphate dehydrogenase 1-like	0046168	glycerol-3-phosphate catabolic process
GPI	chr19	39547908	39583076	18	glucose phosphate isomerase	0016853	isomerase activity
GPNMB	chr7	23252840	23281254	18	glycoprotein (transmembrane) nmb	0008285	negative regulation of cell proliferation
GPR107	chr9	131855805	131942269	18	G protein-coupled receptor 107	0016021	integral to membrane
GPR56	chr16	56211410	56256445	18	G protein-coupled receptor 56	0007186	G-protein coupled receptor protein signaling pathway
GPS1	chr17	77603051	77608635	18	G protein pathway suppressor 1	0005095	GTPase inhibitor activity
GPX1	chr3	49369612	49370795	18	glutathione peroxidase 1	0006917	induction of apoptosis
GRAMD1A	chr19	40183085	40209213	18	GRAM domain containing 1A	0016020	membrane
GRAMD3	chr5	125723686	125857752	18	GRAM domain containing 3
GRB10	chr7	50625253	50767544	18	growth factor receptor-bound protein 10	0032868	response to insulin stimulus
GRB2	chr17	70825751	70913384	18	growth factor receptor-bound protein 2	0007265	Ras protein signal transduction
GRHPR	chr9	37412706	37426986	18	glyoxylate reductase/hydroxypyruvate reductase	0008465	glycerate dehydrogenase activity
GRINA	chr8	145136213	145139571	18	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	0016021	integral to membrane
GRLF1	chr19	52113772	52200173	18	glucocorticoid receptor DNA binding factor 1	0016564	transcription repressor activity
GRN	chr17	39778016	39785996	18	granulin	0008083	growth factor activity
GRPEL2	chr5	148705169	148714339	18	GrpE-like 2, mitochondrial (E. coli)	0005759	mitochondrial matrix
GRSF1	chr4	71900362	71924084	18	G-rich RNA sequence binding factor 1	0000166	nucleotide binding
GRWD1	chr19	53640873	53648966	18	glutamate-rich WD repeat containing 1	0005730	nucleolus
GSDMD	chr8	144711634	144716374	18	gasdermin D	0031668	cellular response to extracellular stimulus
GSK3B	chr3	121023491	121295954	18	glycogen synthase kinase 3 beta	0051059	NF-kappaB binding
GSN	chr9	123070200	123134941	18	gelsolin (amyloidosis, Finnish type)	0005515	protein binding
GSPT1	chr16	11869485	11917326	18	G1 to S phase transition 1	0005515	protein binding
GSS	chr20	32979896	33007262	18	glutathione synthetase	0006979	response to oxidative stress
GSTK1	chr7	142670643	142676344	18	glutathione S-transferase kappa 1	0016740	transferase activity
GTF2A1	chr14	80716146	80757047	18	general transcription factor IIA, 1, 19/37kDa	0005515	protein binding
GTF2F1	chr19	6330579	6344291	18	general transcription factor IIF, polypeptide 1, 74kDa	0000398	nuclear mRNA splicing, via spliceosome
GTF2I	chr7	73709965	73812958	18	general transcription factor II, i	0045449	regulation of transcription
GTF3C2	chr2	27402224	27433372	18	general transcription factor IIIC, polypeptide 2, beta 110kDa	contributes
GTF3C5	chr9	134895882	134923711	18	general transcription factor IIIC, polypeptide 5, 63kDa	contributes
GTPBP1	chr22	37431752	37459538	18	GTP binding protein 1	0007165	signal transduction
GTPBP4	chr10	1024348	1053708	18	GTP binding protein 4	0005525	GTP binding
GUF1	chr4	44375189	44397454	18	GUF1 GTPase homolog (S. cerevisiae)	0000166	nucleotide binding
GUSB	chr7	65063107	65084681	18	glucuronidase, beta	0006027	glycosaminoglycan catabolic process
GYG1	chr3	150192064	150228109	18	glycogenin 1	0005829	cytosol
GYS1	chr19	54163193	54188361	18	glycogen synthase 1 (muscle)	0005515	protein binding
H1F0	chr22	36531059	36533389	18	H1 histone family, member 0	0003677	DNA binding
H2AFV	chr7	44833012	44854250	18	H2A histone family, member V	0000786	nucleosome
H2AFY	chr5	134697969	134762827	18	H2A histone family, member Y	0003677	DNA binding
H2AFZ	chr4	101088266	101090535	18	H2A histone family, member Z	0005694	chromosome
H3F3A	chr1	224317043	224326326	18	H3 histone, family 3A	0009725	response to hormone stimulus
H3F3B	chr17	71284109	71287455	18	H3 histone, family 3B (H3.3B)
HADH	chr4	109130388	109175780	18	hydroxyacyl-Coenzyme A dehydrogenase	0005488	binding
HADHA	chr2	26267007	26321098	18	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	0016829	lyase activity
HADHB	chr2	26321119	26366837	18	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	0044255	cellular lipid metabolic process
HAGH	chr16	1799104	1817196	18	hydroxyacylglutathione hydrolase	0005759	mitochondrial matrix
HARS	chr5	140033673	140051155	18	histidyl-tRNA synthetase	0006412	translation
HBA1	chr16	166678	167520	18	hemoglobin, alpha 1	0005833	hemoglobin complex
HBA2	chr16	162845	163709	18	hemoglobin, alpha 2
HBB	chr11	5203271	5204877	18	hemoglobin, beta	0030492	hemoglobin binding
HBP1	chr7	106596695	106630210	18	HMG-box transcription factor 1	0003677	DNA binding
HBS1L	chr6	135323213	135417729	18	HBS1-like (S. cerevisiae)	0003924	GTPase activity
HCFC1	chrX	152866201	152890013	18	host cell factor C1 (VP16-accessory protein)	0043254	regulation of protein complex assembly
HDAC1	chr1	32530294	32571811	18	histone deacetylase 1	0004407	histone deacetylase activity
HDAC2	chr6	114364019	114399047	18	histone deacetylase 2	0005737	cytoplasm
HDAC7	chr12	46462773	46500030	18	histone deacetylase 7	0005737	cytoplasm
HDGF	chr1	154978522	154988864	18	hepatoma-derived growth factor (high-mobility group protein 1-like)	0008283	cell proliferation
HDHD2	chr18	42887778	42930869	18	haloacid dehalogenase-like hydrolase domain containing 2	0016787	hydrolase activity
HDLBP	chr2	241815351	241903927	18	high density lipoprotein binding protein	0003723	RNA binding
HEATR1	chr1	234780593	234834437	18	HEAT repeat containing 1	0005515	protein binding
HEBP2	chr6	138767028	138776275	18	heme binding protein 2	0005737	cytoplasm
HECA	chr6	139497941	139543639	18	headcase homolog (Drosophila)	0030323	respiratory tube development
HECTD1	chr14	30639074	30746440	18	HECT domain containing 1	0005622	intracellular
HECTD3	chr1	45240806	45249614	18	HECT domain containing 3	0043161	proteasomal ubiquitin-dependent protein catabolic process
HELZ	chr17	62497015	62671781	18	helicase with zinc finger	0008270	zinc ion binding
HEMK1	chr3	50581912	50597425	18	HemK methyltransferase family member 1	0016740	transferase activity
HERC2	chr15	26029782	26240890	18	hect domain and RLD 2	0005680	anaphase-promoting complex
HERPUD1	chr16	55523248	55535294	18	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	0006874	cellular calcium ion homeostasis
HEXA	chr15	70422831	70455574	18	hexosaminidase A (alpha polypeptide)	0005515	protein binding
HEXB	chr5	74016724	74052869	18	hexosaminidase B (beta polypeptide)	0043169	cation binding
HGS	chr17	77261424	77279552	18	hepatocyte growth factor-regulated tyrosine kinase substrate	0016020	membrane
HGSNAT	chr8	43114748	43177127	18	heparan-alpha-glucosaminide N-acetyltransferase	0008415	acyltransferase activity
HIBADH	chr7	27531585	27669127	18	3-hydroxyisobutyrate dehydrogenase	0016491	oxidoreductase activity
HIF1A	chr14	61231871	61284730	18	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	0005634	nucleus
